date,stock_id,price
2025-02-28,3,1682.8
2025-02-27,3,1751.15
2025-02-25,3,1749.15
2025-02-24,3,1750
2025-02-21,3,1806.5
2025-02-20,3,1800.3
2025-02-19,3,1807
2025-02-18,3,1838
2025-02-17,3,1823
2025-02-14,3,1828.05
2025-02-13,3,1835.15
2025-02-12,3,1846.25
2025-02-11,3,1869.7
2025-02-10,3,1878.25
2025-02-07,3,1880.2
2025-02-06,3,1900.05
2025-02-05,3,1894.55
2025-02-04,3,1875
2025-02-03,3,1832.8
2025-02-01,3,1845.2
2025-01-31,3,1864.1
2025-01-30,3,1844.95
2025-01-29,3,1838.55
2025-01-28,3,1822.3
2025-01-27,3,1812.9
2025-01-24,3,1864.8
2025-01-23,3,1850.65
2025-01-22,3,1806.1
2025-01-21,3,1792.45
2025-01-20,3,1793.2
2025-01-17,3,1812.7
2025-01-16,3,1917.75
2025-01-15,3,1938
2025-01-14,3,1931.25
2025-01-13,3,1948.75
2025-01-10,3,1931.55
2025-01-09,3,1909.85
2025-01-08,3,1888.3
2025-01-07,3,1924.4
2025-01-06,3,1927.85
2025-01-03,3,1922.2
2025-01-02,3,1885
2025-01-01,3,1875
2024-12-31,3,1845.7
2024-12-30,3,1886.45
2024-12-27,3,1904
2024-12-26,3,1902.5
2024-12-24,3,1900.25
2024-12-23,3,1909.25
2024-12-20,3,1911.25
2024-12-19,3,1921
2024-12-18,3,1962.15
2024-12-17,3,1959
2024-12-16,3,1977.4
2024-12-13,3,1946.45
2024-12-12,3,1973
2024-12-11,3,1947.35
2024-12-10,3,1930
2024-12-09,3,1897.5
2024-12-06,3,1913
2024-12-05,3,1889.25
2024-12-04,3,1874.1
2024-12-03,3,1872
2024-12-02,3,1836
2024-11-29,3,1845.65
2024-11-28,3,1852.55
2024-11-27,3,1912.5
2024-11-26,3,1899.15
2024-11-25,3,1882.2
2024-11-22,3,1834.25
2024-11-21,3,1820.5
2024-11-20,3,1825.55
2024-11-19,3,1822.05
2024-11-18,3,1795.75
2024-11-14,3,1856.45
2024-11-13,3,1857
2024-11-12,3,1861.1
2024-11-11,3,1820.55
2024-11-08,3,1813.1
2024-11-07,3,1786.65
2024-11-06,3,1763.5
2024-11-05,3,1764.9
2024-11-04,3,1718.5
2024-11-01,3,1754.4
2024-10-31,3,1747.2
2024-10-30,3,1838.75
2024-10-29,3,1828.9
2024-10-28,3,1855.05
2024-10-25,3,1845.65
2024-10-24,3,1860.1
2024-10-23,3,1842.35
2024-10-22,3,1846.05
2024-10-21,3,1838.1
2024-10-18,3,1870
2024-10-17,3,1930
2024-10-16,3,1916.3
2024-10-15,3,1952
2024-10-14,3,1933.75
2024-10-11,3,1909.9
2024-10-10,3,1914.25
2024-10-09,3,1945.5
2024-10-08,3,1906.9
2024-10-07,3,1915.6
2024-10-04,3,1888.65
2024-10-03,3,1881.1
2024-10-01,3,1875
2024-09-30,3,1870
2024-09-27,3,1903.3
2024-09-26,3,1890.35
2024-09-25,3,1877.4
2024-09-24,3,1871.05
2024-09-23,3,1879
2024-09-20,3,1866.95
2024-09-19,3,1878.25
2024-09-18,3,1882
2024-09-17,3,1942.45
2024-09-16,3,1932.45
2024-09-13,3,1935.45
2024-09-12,3,1910.8
2024-09-11,3,1904.85
2024-09-10,3,1896.6
2024-09-09,3,1885.05
2024-09-06,3,1896.7
2024-09-05,3,1910.05
2024-09-04,3,1900.75
2024-09-03,3,1936
2024-09-02,3,1942.95
2024-08-30,3,1928.15
2024-08-29,3,1920.6
2024-08-28,3,1896.9
2024-08-27,3,1875.95
2024-08-26,3,1866.75
2024-08-23,3,1856.55
2024-08-22,3,1869.9
2024-08-21,3,1866.65
2024-08-20,3,1868.35
2024-08-19,3,1849.45
2024-08-16,3,1830.65
2024-08-14,3,1797.35
2024-08-13,3,1789.55
2024-08-12,3,1765.05
2024-08-09,3,1756.55
2024-08-08,3,1727.45
2024-08-07,3,1762.05
2024-08-06,3,1745
2024-08-05,3,1718.4
2024-08-02,3,1816.2
2024-08-01,3,1845.4
2024-07-31,3,1865.5
2024-07-30,3,1860
2024-07-29,3,1864.15
2024-07-26,3,1824.5
2024-07-25,3,1813.75
2024-07-24,3,1820.2
2024-07-23,3,1783
2024-07-22,3,1793.75
2024-07-19,3,1786
2024-07-18,3,1720.75
2024-07-16,3,1699.3
2024-07-15,3,1702.25
2024-07-12,3,1666.85
2024-07-11,3,1642.25
2024-07-10,3,1637.55
2024-07-09,3,1650.4
2024-07-08,3,1640
2024-07-05,3,1633.2
2024-07-04,3,1627.6
2024-07-03,3,1606.25
2024-07-02,3,1589
2024-07-01,3,1559.2
2024-06-28,3,1564
2024-06-27,3,1532.2
2024-06-26,3,1535.35
2024-06-25,3,1521.65
2024-06-24,3,1516.6
2024-06-21,3,1523.45
2024-06-20,3,1499.25
2024-06-19,3,1496.55
2024-06-18,3,1488.95
2024-06-14,3,1486
2024-06-13,3,1489.75
2024-06-12,3,1483.05
2024-06-11,3,1494
2024-06-10,3,1497.9
